Key,Id,Shared Comments,Croatian (Croatia)(hr-HR),Croatian (Croatia)(hr-HR) Comments,English (United States)(en-US),English (United States)(en-US) Comments,German (Germany)(de-DE),German (Germany)(de-DE) Comments,Indonesian (Indonesia)(id-ID),Indonesian (Indonesia)(id-ID) Comments,Japanese (Japan)(ja-JP),Japanese (Japan)(ja-JP) Comments,Custom(nya-UWU),Custom(nya-UWU) Comments,Polish(pl),Polish(pl) Comments,Russian (Russia)(ru-RU),Russian (Russia)(ru-RU) Comments,"Serbian (Cyrillic, Serbia)(sr-Cyrl-RS)","Serbian (Cyrillic, Serbia)(sr-Cyrl-RS) Comments",Vietnamese (Vietnam)(vi-VN),Vietnamese (Vietnam)(vi-VN) Comments,Custom(ze-ZE),Custom(ze-ZE) Comments,Czech(cs),Czech(cs) Comments,French(fr),French(fr) Comments,Italian(it),Italian(it) Comments,Portuguese (Brazil)(pt-BR),Portuguese (Brazil)(pt-BR) Comments,Spanish(es),Spanish(es) Comments
"play",42645680128,"","igraj","","play","","Spielen","","Main","","プレイ","","let's meow!","","graj","","Играть","","играј","","Chơi","","Jókan","","hrát","","jouer","","giocare","","jogar","","jugar",""
"multiplayer",714870976512,"","multiplayer","","multiplayer","","Mehrspieler","","Multipemain","","マルチプレイ","","meowers","","multiplayer","","Мультиплеер","","мултиплејер","","Nhiều người chơi","","Mitójókan","","multiplayer","","multijoueur","","multigiocatore","","multijogador","","multijugador",""
"edit",2991782457344,"","uredi","","edit","","Bearbeiten","","Edit","","編集","","nya edit","","edytuj","","Редактор","","уреди","","Chỉnh, tạo màn","","Várké","","upravit","","modifier","","modificare","","editar","","editar",""
"quit",3021977251840,"","izađi","","quit","","Verlassen","","Keluar","","やめる","","grr >:(","","wyjście","","Выйти","","изађи","","Tắt game¸","","Othír","","zavřít","","arrêter","","uscita","","sair","","salir",""
"Move your mouse to enable menu",3082442338304,"","Pomakni miš da aktiviraš izbornik","","Move your mouse to enable menu","","Bewege deine Maus um das Menü aufzurufen","","Gerakan kursor anda untuk menghidupkan menu","","メニューのエネーブルのためにマウスを動かしてください","","Move the meow mouse to meow the menu!!","","Porusz myszką aby włączyć menu ","","Двигай мышкой чтобы активировать меню","","Помакни миш да активираш мену","","Di chuyển chuột để kích hoạt menu chính","","Presë túrín dó mouse an menuë válen.","","Pohněte myš k aktivaci menu","","Déplacez votre souris pour activer le menu","","Sposta il mouse per abilitare il menu","","Mova seu cursor para habilitar o menu","","Mueve tu mouse para activar el menú",""
"General settings",6902991908864,"","Generalne postavke","","General settings","","Allgemeine Einstellungen","","Pengaturan umum","","一般設定","","General meows!","","Ustawienia ogólne","","Общие настройки","","Генералне опције","","Cài đặt thông thường","","Véral skeytár","","Obecné nastavení","","Paramètres généraux","","Impostazioni generali","","Configurações gerais","","Configuración - General",""
"Change gameplay keybinds",7116955938816,"","Promijeni tipke","","Change gameplay keybinds","","Ändere Gameplay Tastenkombinationen","","Ubah tombol pintasan permainan ","","ゲームプレイキーバインドを変える","","Meow nya the mwos","","Zmień keybind'y rozgrywki","","Изменить клавиши","","Промени типке игре","","Chỉnh nút chơi","","Várké dó jókan klavyé bindar","","Změnit herní tlačítka","","Modifier les raccourcis clavier du jeu","","Cambia i tasti di scelta rapida del gioco","","Mudar teclas de atalho","","Cambiar las teclas rápidas del gameplay",""
"Cursor trail",7659258474496,"","Trag miša","","Cursor trail","","Mausspur","","Jejak Kursor","","マウストレイル","","mows trail","","Ślad kursora","","След курсора","","Траг миша","","Đuôi đi theo trỏ","","Túríntrak","","Stopa kurzoru","","Tracé du curseur","","Traccia del cursore","","Rastro do cursor","","Rastro del cursor",""
"Trail fade",7936682323968,"","Nestajanje traga miša","","Trail fade","","Mausspur länge","","Kepudaran Jejak","","トレイルの薄れ","","mows trail nyas!","","Zanikanie śladu","","Исчезновение следа","","Нестајанје трага миша","","Đuoi tự mờ","","Trákë fadea","","Mihnutí stopy","","Fondu de piste","","Dissolvenza della scia","","Fade do rastro","","Desvanecimiento del rastro",""
"Mouse trail particle count",16284794318848,"","Broj partikala traga miša","","Mouse trail particle count","","Mausspur - Partikelanzahl","","Jumlah Parikel Jejak","","トレイル パーティクル カウント","","trail meows!","","Ilość śladów kursora","","Количество частиц следа","","Број партикала трага миша","","Số hạt trong đuôi","","Trákë partíkl numor","","Počet částic na stopě","","Nombre de particules de traces de souris","","Conteggio delle particelle di traccia del topo","","Quantidade de partículas do rastro","","Cantidad de partículas del rastro",""
"Confine mouse cursor",16739842748416,"","Ograniči miš na instancu","","Confine mouse cursor","","Mauszeiger einschränken","","Batasi mouse pada window","","マウスを限る","","stay in meow box","","Ograniczenia kursora myszki","","Не давать курсору выходить за рамки окна игры","","Ограничи миш на инстанцу","","Giữ trỏ trong cửa sổ","","Túrín dó mouse encloson","","Uvěznit myš","","Limiter le curseur de la souris","","Limita il cursore del mouse","","Confinar o cursor do mouse","","Confinar el cursor del mouse",""
